"";"Onderwerpen";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Huishoudelijk afval naar soort afval";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente";"Kenmerken gemeente"
"";"Onderwerpen";"Totaal huishoudelijk afval";"Huishoudelijk restafval";"Grof huishoudelijk restafval";"Verbouwingsrestafval";"GFT-afval";"Oud papier en karton";"Verpakkingsglas";"Textiel";"Klein chemisch afval (KCA)";"Metalen verpakkingen (blik)";"Drankenkartons";"Kunststof verpakkingen";"Overige kunststoffen";"Luiers";"Wit- en bruingoed";"Grof tuinafval";"Bruikbaar huisraad";"Vloerbedekking";"Vlakglas";"Metalen";"Houtafval (A- en B-hout)";"Houtafval (C-hout)";"Schoon puin";"Bitumenhoudende dakbedekking";"Asbesthoudend afval";"Autobanden";"Schone grond";"Overige afvalstoffen";"Gemeentecode";"Provincie";"Stedelijkheid";"Inwoners per 1 januari"
"Regio's";"Perioden";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"kg per inwoner";"";"";"";"aantal"
"Ter Aar";"2003";"559";"209";"27";"-";"117";"56";"26";"1";"1";"-";"-";"0";".";".";"2";"39";"-";"-";"2";"7";"26";".";"40";"1";"1";"-";"-";"3";"0480";"Zuid-Holland";"Niet stedelijk";"9080"
"Ter Aar";"2004";"600";"208";"27";"-";"131";"64";"26";".";"1";"0";"-";"1";".";".";"3";"51";"-";"-";"2";"5";"27";".";"43";"1";"1";"-";"-";"5";"0480";"Zuid-Holland";"Niet stedelijk";"9010"
"Ter Aar";"2005";"607";"216";"30";"-";"121";"77";"27";".";"1";"0";"-";"1";".";".";"4";"52";"-";"-";"2";"5";"27";".";"33";"1";"1";"-";"-";"5";"0480";"Zuid-Holland";"Niet stedelijk";"8999"
"Ter Aar";"2006";"637";"260";"30";"-";"115";"66";"25";".";"1";"-";"-";"1";".";".";"4";"56";"-";"-";"2";"5";"32";".";"33";"1";"1";"-";"-";".";"0480";"Zuid-Holland";"Niet stedelijk";"8988"
"Ter Aar";"2007";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ter Aar";"2008";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ter Aar";"2009";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ter Aar";"2010";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ter Aar";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Ter Aar";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Abcoude";"2002";"581";"226";"72";"-";"107";"57";"29";".";"2";"-";"-";"-";".";".";"2";"38";"-";"-";"1";"5";"10";".";"24";"-";"0";"0";"-";"6";"0305";"Utrecht";"Weinig stedelijk";"8509"
"Abcoude";"2003";"581";"217";"65";"-";"108";"67";"30";".";"2";"-";"-";"-";".";".";"2";"33";"-";"-";"1";"5";"11";".";"29";"-";"0";"0";"-";"5";"0305";"Utrecht";"Weinig stedelijk";"8595"
"Abcoude";"2004";".";"234";"69";"-";"108";".";"26";".";"1";"-";"-";"-";".";".";"2";"31";"-";"-";"2";"8";"11";".";"35";"-";"1";"0";"-";"8";"0305";"Utrecht";"Weinig stedelijk";"8624"
"Abcoude";"2005";"597";"228";"57";"-";"107";"86";"24";".";"2";"-";"-";"-";".";".";"2";"36";"-";"-";"1";"4";"12";".";"25";"-";"1";"-";"-";"8";"0305";"Utrecht";"Weinig stedelijk";"8603"
"Abcoude";"2006";".";"226";"55";"-";"99";".";"25";".";"2";"-";"-";"-";".";".";"2";"30";"-";"-";"1";"8";"15";".";"29";"-";"1";"0";"-";"4";"0305";"Utrecht";"Weinig stedelijk";"8670"
"Abcoude";"2007";".";"230";"56";"-";"100";".";"25";".";"2";"-";"-";"-";"-";"-";".";"23";"-";"-";"1";"6";"17";"5";"28";"-";"0";"0";"-";"-";"0305";"Utrecht";"Weinig stedelijk";"8651"
"Abcoude";"2008";"546";"204";"51";"-";"99";"72";"21";".";"2";"-";"-";"-";"-";"-";".";"28";"-";"-";".";"6";"20";"4";"28";"-";"1";"-";"-";"3";"0305";"Utrecht";"Weinig stedelijk";"8688"
"Abcoude";"2009";"537";"164";"53";"-";"113";"73";"20";".";"2";"-";"-";"-";"-";"-";".";"32";"-";"-";"1";"7";"22";"6";"29";"-";"0";"-";"-";"3";"0305";"Utrecht";"Weinig stedelijk";"8680"
"Abcoude";"2010";"517";"170";"46";"-";"101";"70";"21";"4";"2";"-";"-";"2";"-";"-";"8";"28";"5";"-";"1";"7";"22";"4";"23";"-";"0";"0";"-";"3";"0305";"Utrecht";"Weinig stedelijk";"8764"
"Abcoude";"2011";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Abcoude";"2012*";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
"Achtkarspelen";"2002";".";"272";".";"-";"171";"85";"19";"9";"1";"-";"-";"-";".";".";".";"46";"-";"-";"2";"7";"54";".";"70";"3";"3";"0";"-";"-";"0059";"Friesland";"Niet stedelijk";"28016"
"Achtkarspelen";"2003";"688";"205";"50";"-";"158";"77";"18";"8";"1";"-";"-";"-";".";".";"4";"49";"-";"-";"2";"7";"66";".";"35";"4";"4";"1";"-";"-";"0059";"Friesland";"Niet stedelijk";"28102"
"Achtkarspelen";"2004";"639";"232";"18";"-";"186";"76";"18";"5";"1";"-";"-";"-";".";".";"5";"43";"-";"-";"1";"2";"20";".";"26";"2";"2";"0";"-";"1";"0059";"Friesland";"Niet stedelijk";"28156"
"Achtkarspelen";"2005";"674";"235";"27";"-";"185";"86";"16";"4";"1";"-";"-";"-";".";".";"3";"45";"-";"-";"1";"2";"32";".";"32";"2";"2";"0";"-";"-";"0059";"Friesland";"Niet stedelijk";"28134"
"Achtkarspelen";"2006";"671";"223";"29";"-";"179";"80";"17";"5";"1";"-";"-";"-";".";".";".";"46";"-";"-";"1";"4";"37";".";"42";"2";"3";"0";"-";"-";"0059";"Friesland";"Niet stedelijk";"28223"
"Achtkarspelen";"2007";"699";"234";"37";"-";"195";"67";"17";"6";"1";"-";"-";"-";"-";"-";".";"45";"-";"-";"1";"3";"35";"4";"45";"2";"3";"0";"-";"-";"0059";"Friesland";"Niet stedelijk";"28143"
"Achtkarspelen";"2008";"687";"217";"34";"-";"189";"79";"16";"5";"1";"-";"-";"-";"-";"-";".";"43";"-";"-";"1";"4";"31";"4";"52";"2";"3";"1";"-";"-";"0059";"Friesland";"Niet stedelijk";"28088"
"Achtkarspelen";"2009";"709";"216";"39";"-";"192";"76";"17";"4";"1";"-";"-";"-";"-";".";".";"43";"-";"-";"1";"4";"36";"4";"59";"3";"2";"0";"-";"-";"0059";"Friesland";"Niet stedelijk";"28139"
"Achtkarspelen";"2010";"671";"215";"37";"-";"184";"71";"17";"4";"2";"-";"-";"-";"-";"4";"4";"43";"-";"-";"1";"4";"32";"4";"46";"2";"2";"1";"-";"-";"0059";"Friesland";"Niet stedelijk";"28088"
"Achtkarspelen";"2011";"672";"217";"35";"-";"186";"67";"16";"4";"1";"-";"-";"-";"0";"-";"4";"43";"-";"-";"1";"3";"34";"4";"49";"2";"2";"1";"-";"3";"0059";"Friesland";"Niet stedelijk";"28123"
"Achtkarspelen";"2012*";"684";"216";"32";"-";"186";"65";"16";"4";"1";"-";"-";"-";"0";"-";"4";"67";"-";"-";"1";"3";"30";"3";"50";"1";"2";"0";"-";"2";"0059";"Friesland";"Niet stedelijk";"28091"
"Akersloot";"2002";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";"";"";"";" "
